model,type,source,core_n,core_accuracy,hard_n,hard_accuracy,hard_pragmatic_n,hard_pragmatic_accuracy,hard_direct_n,hard_direct_accuracy,real_clean_n,real_clean_accuracy,aggregate_n,aggregate_accuracy,parse_failure_rate,notes
Random,Baseline,Expected uniform random choice,3000,0.25,469,0.25,419,0.25,50,0.25,64,0.25,3533,0.25,0.0,
Always A,Baseline,Deterministic position baseline,3000,0.25,469,0.2537313432835821,419,0.2577565632458234,50,0.22,64,0.265625,3533,0.2507783753184263,0.0,
Lexical (utterance),Baseline,lexical_overlap:utterance,3000,0.5176666666666667,469,0.4051172707889126,419,0.38663484486873506,50,0.56,64,0.390625,3533,0.5004245683555052,0.0,
Lexical (ctx+utt.),Baseline,lexical_overlap:context_utterance,3000,0.71,469,0.4904051172707889,419,0.47255369928400953,50,0.64,64,0.375,3533,0.674780639682989,0.0,
Style-only artifact,Artifact,artifact_baseline:style_only,3000,0.25,469,0.2537313432835821,419,0.2577565632458234,50,0.22,64,0.265625,3533,0.2507783753184263,0.0,
Length-only artifact,Artifact,artifact_baseline:length_only,3000,0.202,469,0.2515991471215352,419,0.26968973747016706,50,0.1,64,0.34375,3533,0.22134163600339654,0.0,
Punctuation-only artifact,Artifact,artifact_baseline:punctuation_only,3000,0.25,469,0.2537313432835821,419,0.2577565632458234,50,0.22,64,0.265625,3533,0.2507783753184263,0.0,
Starts-with artifact,Artifact,artifact_baseline:starts_with,3000,0.25,469,0.2537313432835821,419,0.2577565632458234,50,0.22,64,0.265625,3533,0.2507783753184263,0.0,
GPT-5.5,Model,experiments/api_core_3000_final/openai_gpt-5.5_pcp_full.json ; experiments/api_hard_469_final/openai_gpt-5.5_pcp_full.json ; experiments/api_real_clean_64_final/openai_gpt-5.5_pcp_full.json,3000,0.9973333333333333,469,0.906183368869936,419,0.9021479713603818,50,0.94,64,0.90625,3533,0.9835833569204642,0.0,
Claude Opus 4.7,Model,experiments/api_core_3000_final/openai_claude-opus-4-7_pcp_full.json ; experiments/api_hard_469_final/openai_claude-opus-4-7_pcp_full.json ; experiments/api_real_clean_64_final/openai_claude-opus-4-7_pcp_full.json,3000,0.9973333333333333,469,0.8976545842217484,419,0.8902147971360382,50,0.96,64,0.875,3533,0.9818850834984433,0.0,
Gemini 3.1 Pro,Model,experiments/api_core_3000_final/openai_gemini-3.1-pro-preview_pcp_full.json ; experiments/api_hard_469_final/openai_gemini-3.1-pro-preview_pcp_full.json ; experiments/api_real_clean_64_final/openai_gemini-3.1-pro-preview_pcp_full.json,3000,0.998,469,0.8720682302771855,419,0.8663484486873508,50,0.92,64,0.796875,3533,0.9776393999433909,0.0,
MiMo-V2.5-Pro,Model,experiments/api_core_3000_final/openai_mimo-v2.5-pro_pcp_full.json ; experiments/api_hard_469_final/openai_mimo-v2.5-pro_pcp_full.json ; experiments/api_real_clean_64_final/openai_mimo-v2.5-pro_pcp_full.json,3000,0.9933333333333333,469,0.8699360341151386,419,0.8591885441527446,50,0.96,64,0.859375,3533,0.9745258986696859,0.0,
MiniMax-M2.7,Model,experiments/api_core_3000_final/openai_MiniMax-M2.7_pcp_full.json ; experiments/api_hard_469_final/openai_MiniMax-M2.7_pcp_full.json ; experiments/api_real_clean_64_final/openai_MiniMax-M2.7_pcp_full.json,3000,0.9873333333333333,469,0.8336886993603412,419,0.8186157517899761,50,0.96,64,0.890625,3533,0.9651853948485706,0.0,
